extraction_ID,alternative_ID,collection_year,collection_month,collection_day,bay_id,habitat,location1,location3,longitude,latitude,sample_type,time_of_day,project,collected_by,extraction_by,extraction_date,plate_or_vial,extraction_plate_ID,extraction_well_ID
e00289,2021_SYLB_A_1,2021,6,8,SYLB_A,eelgrass,Sylburn harbor eel,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00290,2021_SYLB_A_2,2021,6,8,SYLB_A,eelgrass,Sylburn harbor eel,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00291,2021_SYLB_A_3,2021,6,8,SYLB_A,eelgrass,Sylburn harbor eel,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00292,2021_SYLB_A_4,2021,6,8,SYLB_A,eelgrass,Sylburn harbor eel,,,,field_blank,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00293,2021_SYLB_B_1,2021,6,9,SYLB_B,kelp,Sylburn harbor kelp,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00294,2021_SYLB_B_2,2021,6,9,SYLB_B,kelp,Sylburn harbor kelp,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00295,2021_SYLB_B_3,2021,6,9,SYLB_B,kelp,Sylburn harbor kelp,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00296,2021_SYLB_B_4,2021,6,9,SYLB_B,kelp,Sylburn harbor kelp,,,,field_blank,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00297,2021_REEF_A_1,2021,6,10,REEF_A,eelgrass,Reef harbor eel,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00298,2021_REEF_A_2,2021,6,10,REEF_A,eelgrass,Reef harbor eel,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00299,2021_REEF_A_3,2021,6,10,REEF_A,eelgrass,Reef harbor eel,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00300,2021_REEF_A_4,2021,6,10,REEF_A,eelgrass,Reef harbor eel,,,,field_blank,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00301,2021_REEF_B_1,2021,6,13,REEF_B,kelp,Reef harbor kelp,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00302,2021_REEF_B_2,2021,6,13,REEF_B,kelp,Reef harbor kelp,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00303,2021_REEF_B_3,2021,6,13,REEF_B,kelp,Reef harbor kelp,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00304,2021_REEF_B_4,2021,6,13,REEF_B,kelp,Reef harbor kelp,,,,field_blank,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00305,2021_KAHS_A_1,2021,6,11,KAHS_A,eelgrass,Kah shakes eel,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00306,2021_KAHS_A_2,2021,6,11,KAHS_A,eelgrass,Kah shakes eel,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00307,2021_KAHS_A_3,2021,6,11,KAHS_A,eelgrass,Kah shakes eel,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00308,2021_KAHS_A_4,2021,6,11,KAHS_A,eelgrass,Kah shakes eel,,,,field_blank,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00309,2021_KAHS_B_1,2021,6,12,KAHS_B,kelp,Kah shakes kelp,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00310,2021_KAHS_B_2,2021,6,12,KAHS_B,kelp,Kah shakes kelp,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00311,2021_KAHS_B_3,2021,6,12,KAHS_B,kelp,Kah shakes kelp,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00312,extraction_blank,2021,,,,,,,,,extraction_blank,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00313,2021_KAHS_B_4,2021,6,12,KAHS_B,kelp,Kah shakes kelp,,,,field_blank,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00314,2021_DALL_A_1,2021,6,14,DALL_A,eelgrass,Dall bay eel,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00315,2021_DALL_A_2,2021,6,14,DALL_A,eelgrass,Dall bay eel,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00316,2021_DALL_A_3,2021,6,14,DALL_A,eelgrass,Dall bay eel,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00317,2021_DALL_A_4,2021,6,14,DALL_A,eelgrass,Dall bay eel,,,,field_blank,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00318,2021_DALL_B_1,2021,6,15,DALL_B,kelp,Dall bay kelp,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00319,2021_DALL_B_2,2021,6,15,DALL_B,kelp,Dall bay kelp,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00320,2021_DALL_B_3,2021,6,15,DALL_B,kelp,Dall bay kelp,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00321,2021_DALL_B_4,2021,6,15,DALL_B,kelp,Dall bay kelp,,,,field_blank,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00322,2021_MOIR_A_1,2021,6,22,MOIR_A,eelgrass,Moira sound eel,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00323,2021_MOIR_A_2,2021,6,22,MOIR_A,eelgrass,Moira sound eel,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00324,2021_MOIR_A_3,2021,6,22,MOIR_A,eelgrass,Moira sound eel,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00325,2021_MOIR_A_4,2021,6,22,MOIR_A,eelgrass,Moira sound eel,,,,field_blank,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00326,2021_MOIR_B_1,2021,6,23,MOIR_B,kelp,Moira sound kelp,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00327,2021_MOIR_B_2,2021,6,23,MOIR_B,kelp,Moira sound kelp,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00328,2021_MOIR_B_3,2021,6,23,MOIR_B,kelp,Moira sound kelp,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00329,2021_MOIR_B_4,2021,6,23,MOIR_B,kelp,Moira sound kelp,,,,field_blank,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00330,2021_NICH_A_1,2021,6,26,NICH_A,eelgrass,Nichols bay eel,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00331,2021_NICH_A_2,2021,6,26,NICH_A,eelgrass,Nichols bay eel,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00332,2021_NICH_A_3,2021,6,26,NICH_A,eelgrass,Nichols bay eel,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00333,2021_NICH_A_4,2021,6,26,NICH_A,eelgrass,Nichols bay eel,,,,field_blank,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00334,2021_NICH_B_1,2021,6,25,NICH_B,kelp,Nichols bay kelp,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00335,2021_NICH_B_2,2021,6,25,NICH_B,kelp,Nichols bay kelp,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00336,extraction_blank,2021,,,,,,,,,extraction_blank,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_18,,,
e00337,2021_NICH_B_3,2021,6,25,NICH_B,kelp,Nichols bay kelp,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_22,,,
e00338,2021_NICH_B_4,2021,6,25,NICH_B,kelp,Nichols bay kelp,,,,field_blank,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_22,,,
e00339,2021_TAHB_A_1,2021,6,27,TAHB_A,eelgrass,Tah bay eel,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_22,,,
e00340,2021_TAHB_A_2,2021,6,27,TAHB_A,eelgrass,Tah bay eel,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_22,,,
e00341,2021_TAHB_A_3,2021,6,27,TAHB_A,eelgrass,Tah bay eel,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_22,,,
