sample_ID,extraction_ID,seq_date,alternative_ID,collection_year,collection_month,collection_day,location1,location2,location3,longitude,latitude,sample_type,collected_by,extraction_by,extraction_date
e00289-A,e00289,20240701,2021_SYLB_A_1,2021,6,8,Sylburn harbor eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00289-B,e00289,20240701,2021_SYLB_A_1,2021,6,8,Sylburn harbor eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00289-C,e00289,20240701,2021_SYLB_A_1,2021,6,8,Sylburn harbor eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00290-A,e00290,20240701,2021_SYLB_A_2,2021,6,8,Sylburn harbor eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00290-B,e00290,20240701,2021_SYLB_A_2,2021,6,8,Sylburn harbor eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00290-C,e00290,20240701,2021_SYLB_A_2,2021,6,8,Sylburn harbor eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00291-A,e00291,20240701,2021_SYLB_A_3,2021,6,8,Sylburn harbor eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00291-B,e00291,20240701,2021_SYLB_A_3,2021,6,8,Sylburn harbor eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00291-C,e00291,20240701,2021_SYLB_A_3,2021,6,8,Sylburn harbor eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00292-A,e00292,20240701,2021_SYLB_A_4,2021,6,8,Sylburn harbor eel,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00292-B,e00292,20240701,2021_SYLB_A_4,2021,6,8,Sylburn harbor eel,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00292-C,e00292,20240701,2021_SYLB_A_4,2021,6,8,Sylburn harbor eel,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00293-A,e00293,20240701,2021_SYLB_B_1,2021,6,9,Sylburn harbor kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00293-B,e00293,20240701,2021_SYLB_B_1,2021,6,9,Sylburn harbor kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00293-C,e00293,20240701,2021_SYLB_B_1,2021,6,9,Sylburn harbor kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00294-A,e00294,20240701,2021_SYLB_B_2,2021,6,9,Sylburn harbor kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00294-B,e00294,20240701,2021_SYLB_B_2,2021,6,9,Sylburn harbor kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
