Community_ID,Common_name,species,taxon,Community_name,DNA_Ratio,uL,conc_ng_uL_measured,conc_ng_uL_supposed
COM1,Three-spine stickleback,Gasterosteus aculeatus,Gasterosteus aculeatus,even,1,40,0,0.2
COM1,Shiner perch,Cymatogaster aggregata,Cymatogaster aggregata,even,1,40,0.214,0.2
COM1,Whitespotted greenling,Hexagrammos stelleri,Hexagrammos,even,1,40,0.219,0.2
COM1,Crescent gunnels,Pholis laeta,Pholis laeta,even,1,40,0.231,0.2
COM1,Silverspotted sculpin,Blepsias cirrhosus,Blepsias cirrhosus,even,1,40,0.231,0.2
COM1,Pacific sandlance,Ammodytes personatus,Ammodytes personatus,even,1,40,0.214,0.2
COM1,Chum salmon,Oncorhynchus keta,Oncorhynchus keta,even,1,40,0.223,0.2
COM1,Coho salmon,Oncorhynchus kisutch,Oncorhynchus kisutch,even,1,40,0.198,0.2
COM1,Pacific staghorn sculpin,Leptocottus armatus,Leptocottus armatus,even,1,40,0.202,0.2
COM1,Bay pipefish,Syngnathus leptorhynchus,Syngnathus leptorhynchus,even,1,40,0.215,0.2
COM1,Snake prickleback,Lumpenus sagitta,Lumpenus sagitta,even,1,40,0.249,0.2
COM2,Three-spine stickleback,Gasterosteus aculeatus,Gasterosteus aculeatus,high_abun_skew,5,80,0,0.2
COM2,Chum salmon,Oncorhynchus keta,Oncorhynchus keta,high_abun_skew,10,160,0.223,0.2
COM2,Pacific sandlance,Ammodytes personatus,Ammodytes personatus,high_abun_skew,10,160,0.214,0.2
COM2,Pink salmon,Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,high_abun_skew,10,160,0.155,0.2
COM2,Yellowfin sole,Limanda aspera,Limanda aspera,high_abun_skew,1,16,0.204,0.2
COM2,Pacific herring,Clupea pallasii,Clupea pallasii,high_abun_skew,2,32,0.17,0.2
COM2,Yellowtail rockfish,Sebastes flavidus,Sebastes,high_abun_skew,1,16,0.151,0.2
COM2,Pacific rock sole,Lepidopsetta bilineata,Lepidopsetta,high_abun_skew,1,16,0.206,0.2
COM2,Pacific staghorn sculpin,Leptocottus armatus,Leptocottus armatus,high_abun_skew,2,32,0.202,0.2
COM2,Brown rockfish,Sebastes auriculatus,Sebastes auriculatus,high_abun_skew,1,16,0.222,0.2
COM3,Three-spine stickleback,Gasterosteus aculeatus,Gasterosteus aculeatus,high_abun_skew_2,1,16,0,0.2
COM3,Pacific herring,Clupea pallasii,Clupea pallasii,high_abun_skew_2,10,160,0.17,0.2
COM3,Pink salmon,Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,high_abun_skew_2,5,80,0.155,0.2
COM3,Chum salmon,Oncorhynchus keta,Oncorhynchus keta,high_abun_skew_2,2,32,0.223,0.2
COM3,Coho salmon,Oncorhynchus kisutch,Oncorhynchus kisutch,high_abun_skew_2,1,16,0.198,0.2
COM3,Snake prickleback,Lumpenus sagitta,Lumpenus sagitta,high_abun_skew_2,2,32,0.249,0.2
COM3,Copper rockfish,Sebastes caurinus,Sebastes caurinus or Sebastes maliger,high_abun_skew_2,1,16,0.198,0.2
COM3,Pacific rock sole,Lepidopsetta bilineata,Lepidopsetta,high_abun_skew_2,1,16,0.206,0.2
COM3,Yellowfin sole,Limanda aspera,Limanda aspera,high_abun_skew_2,1,16,0.204,0.2
COM3,Bay pipefish,Syngnathus leptorhynchus,Syngnathus leptorhynchus,high_abun_skew_2,2,32,0.215,0.2
COM3,Whitespotted greenling,Hexagrammos stelleri,Hexagrammos,high_abun_skew_2,1,16,0.219,0.2
COM3,Pacific staghorn sculpin,Leptocottus armatus,Leptocottus armatus,high_abun_skew_2,1,16,0.202,0.2
COM4,Three-spine stickleback,Gasterosteus aculeatus,Gasterosteus aculeatus,salmon & friends,2,32,0,0.2
COM4,Pink salmon,Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,salmon & friends,10,160,0.155,0.2
COM4,Chum salmon,Oncorhynchus keta,Oncorhynchus keta,salmon & friends,5,80,0.223,0.2
COM4,Coho salmon,Oncorhynchus kisutch,Oncorhynchus kisutch,salmon & friends,5,80,0.198,0.2
COM4,Sockeye salmon,Oncorhynchus nerka,Oncorhynchus nerka,salmon & friends,2,32,0.262,0.2
COM4,Chinook salmon,Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,salmon & friends,1,16,0.35,0.2
COM4,Crescent gunnels,Pholis laeta,Pholis laeta,salmon & friends,1,16,0.231,0.2
COM4,Yellowfin sole,Limanda aspera,Limanda aspera,salmon & friends,1,16,0.204,0.2
COM4,Pacific cod,Gadus macrocephalus,Gadus,salmon & friends,2,32,0.203,0.2
COM5,Three-spine stickleback,Gasterosteus aculeatus,Gasterosteus aculeatus,kelpy,1,16,0,0.2
COM5,Whitespotted greenling,Hexagrammos stelleri,Hexagrammos,kelpy,2,32,0.219,0.2
COM5,Brown rockfish,Sebastes auriculatus,Sebastes auriculatus,kelpy,5,80,0.222,0.2
COM5,Copper rockfish,Sebastes caurinus,Sebastes caurinus or Sebastes maliger,kelpy,5,80,0.198,0.2
COM5,Pacific staghorn sculpin,Leptocottus armatus,Leptocottus armatus,kelpy,5,80,0.202,0.2
COM5,Shiner perch,Cymatogaster aggregata,Cymatogaster aggregata,kelpy,10,160,0.214,0.2
COM5,Silverspotted sculpin,Blepsias cirrhosus,Blepsias cirrhosus,kelpy,2,32,0.231,0.2
COM5,Snake prickleback,Lumpenus sagitta,Lumpenus sagitta,kelpy,5,80,0.249,0.2
COM5,Coho salmon,Oncorhynchus kisutch,Oncorhynchus kisutch,kelpy,2,32,0.198,0.2
COM5,Yellowfin sole,Limanda aspera,Limanda aspera,kelpy,1,16,0.204,0.2
COM5,Lingcod,Ophiodon elongatus,Ophiodon elongatus,kelpy,2,32,0.181,0.2
COM6,Three-spine stickleback,Gasterosteus aculeatus,Gasterosteus aculeatus,mimic_eelgrass_shin_a_22,,32.3,0,0.2
COM6,Whitespotted greenling,Hexagrammos stelleri,Hexagrammos,mimic_eelgrass_shin_a_22,,6.7,0.219,0.2
COM6,Crescent gunnels,Pholis laeta,Pholis laeta,mimic_eelgrass_shin_a_22,,5.2,0.231,0.2
COM6,Shiner perch,Cymatogaster aggregata,Cymatogaster aggregata,mimic_eelgrass_shin_a_22,,96.5,0.214,0.2
COM6,Bay pipefish,Syngnathus leptorhynchus,Syngnathus leptorhynchus,mimic_eelgrass_shin_a_22,,3.3,0.215,0.2
COM6,Snake prickleback,Lumpenus sagitta,Lumpenus sagitta,mimic_eelgrass_shin_a_22,,17.5,0.249,0.2
COM6,Pacific staghorn sculpin,Leptocottus armatus,Leptocottus armatus,mimic_eelgrass_shin_a_22,,33.4,0.202,0.2
