"","extraction_ID","seq_date","alternative_ID","collection_year","collection_month","collection_day","location1","location2","location3","longitude","latitude","sample_type","collected_by","extraction_by","extraction_date"
"1","e00289",20240701,"2021_SYLB_A_1",2021,6,8,"Sylburn harbor eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"4","e00290",20240701,"2021_SYLB_A_2",2021,6,8,"Sylburn harbor eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"7","e00291",20240701,"2021_SYLB_A_3",2021,6,8,"Sylburn harbor eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"10","e00292",20240701,"2021_SYLB_A_4",2021,6,8,"Sylburn harbor eel",NA,NA,NA,NA,"field_blank","LKD","LKD","2021_11_18"
"13","e00293",20240701,"2021_SYLB_B_1",2021,6,9,"Sylburn harbor kelp",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"16","e00294",20240701,"2021_SYLB_B_2",2021,6,9,"Sylburn harbor kelp",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"19","e00295",20240701,"2021_SYLB_B_3",2021,6,9,"Sylburn harbor kelp",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"22","e00296",20240701,"2021_SYLB_B_4",2021,6,9,"Sylburn harbor kelp",NA,NA,NA,NA,"field_blank","LKD","LKD","2021_11_18"
"25","e00297",20240701,"2021_REEF_A_1",2021,6,10,"Reef harbor eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"28","e00298",20240701,"2021_REEF_A_2",2021,6,10,"Reef harbor eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"31","e00299",20240701,"2021_REEF_A_3",2021,6,10,"Reef harbor eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"34","e00300",20240701,"2021_REEF_A_4",2021,6,10,"Reef harbor eel",NA,NA,NA,NA,"field_blank","LKD","LKD","2021_11_18"
"37","e00301",20240701,"2021_REEF_B_1",2021,6,13,"Reef harbor kelp",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"40","e00302",20240701,"2021_REEF_B_2",2021,6,13,"Reef harbor kelp",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"43","e00303",20240701,"2021_REEF_B_3",2021,6,13,"Reef harbor kelp",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"46","e00304",20240701,"2021_REEF_B_4",2021,6,13,"Reef harbor kelp",NA,NA,NA,NA,"field_blank","LKD","LKD","2021_11_18"
"49","e00305",20240701,"2021_KAHS_A_1",2021,6,11,"Kah shakes eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"52","e00306",20240701,"2021_KAHS_A_2",2021,6,11,"Kah shakes eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"55","e00307",20240701,"2021_KAHS_A_3",2021,6,11,"Kah shakes eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"58","e00308",20240701,"2021_KAHS_A_4",2021,6,11,"Kah shakes eel",NA,NA,NA,NA,"field_blank","LKD","LKD","2021_11_18"
"61","e00309",20240701,"2021_KAHS_B_1",2021,6,12,"Kah shakes kelp",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"64","e00310",20240701,"2021_KAHS_B_2",2021,6,12,"Kah shakes kelp",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"67","e00311",20240701,"2021_KAHS_B_3",2021,6,12,"Kah shakes kelp",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"70","e00312",20240701,"extraction_blank",2021,NA,NA,NA,NA,NA,NA,NA,"extraction_blank","LKD","LKD","2021_11_18"
"73","e00313",20240701,"2021_KAHS_B_4",2021,6,12,"Kah shakes kelp",NA,NA,NA,NA,"field_blank","LKD","LKD","2021_11_18"
"76","e00314",20240701,"2021_DALL_A_1",2021,6,14,"Dall bay eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"79","e00315",20240701,"2021_DALL_A_2",2021,6,14,"Dall bay eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"82","e00316",20240701,"2021_DALL_A_3",2021,6,14,"Dall bay eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"85","e00317",20240701,"2021_DALL_A_4",2021,6,14,"Dall bay eel",NA,NA,NA,NA,"field_blank","LKD","LKD","2021_11_18"
"88","e00318",20240701,"2021_DALL_B_1",2021,6,15,"Dall bay kelp",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"91","e00319",20240701,"2021_DALL_B_2",2021,6,15,"Dall bay kelp",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"94","e00320",20240701,"2021_DALL_B_3",2021,6,15,"Dall bay kelp",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"97","e00321",20240701,"2021_DALL_B_4",2021,6,15,"Dall bay kelp",NA,NA,NA,NA,"field_blank","LKD","LKD","2021_11_18"
"100","e00322",20240701,"2021_MOIR_A_1",2021,6,22,"Moira sound eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"103","e00323",20240701,"2021_MOIR_A_2",2021,6,22,"Moira sound eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"106","e00324",20240701,"2021_MOIR_A_3",2021,6,22,"Moira sound eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
