"","qseqid","taxon","taxonomic_level"
"1","ASV_0029","Gadus chalcogrammus","species"
"2","ASV_0065","Gadus macrocephalus","species"
"3","ASV_0093","Microgadus proximus","species"
"4","ASV_0134","Gadus chalcogrammus","species"
"5","ASV_0135","Gadus chalcogrammus","species"
"6","ASV_0145","Gadus chalcogrammus","species"
"7","ASV_0146","Gadus chalcogrammus","species"
"8","ASV_0194","Gadus chalcogrammus","species"
"9","ASV_0238","Gadus chalcogrammus","species"
"10","ASV_0258","Gadus chalcogrammus","species"
"11","ASV_0267","Gadus chalcogrammus","species"
"12","ASV_0038","Gadid","genus"
"13","ASV_0346","Gadid","genus"
