"","ASV","taxon","tot_reads"
"1","ASV_0001","Cymatogaster aggregata",177257.151748
"2","ASV_0002","Clupea pallasii",56609.212
"3","ASV_0003","Gasterosteus aculeatus",50071.013
"4","ASV_0004","Ammodytes personatus",105027.824955
"5","ASV_0005","Oncorhynchus gorbuscha",122161.255715
"6","ASV_0006","Pholis laeta",90820.799
"7","ASV_0008","Lumpenus sagitta",72960.740975
"8","ASV_0009","Oncorhynchus kisutch",32932.701843
"9","ASV_0010","Leptocottus armatus",63641.866219
"10","ASV_0011","Syngnathus leptorhynchus",53716.831559
"11","ASV_0012","Hexagrammos",73289
"12","ASV_0014","Ophiodon elongatus",105053.31961
"13","ASV_0017","Oncorhynchus keta",2637
"14","ASV_0018","Gadus",74913.46029
"15","ASV_0019","Sebastes 1",67970
"16","ASV_0020","Oncorhynchus keta",63588
"17","ASV_0020","Oncorhynchus keta",63588
"18","ASV_0023","Sebastes 2",50266
"19","ASV_0024","Lepidopsetta",42654
"20","ASV_0027","Sebastes 3",34759.054519
"21","ASV_0029","Pleuronectidae 1",32429
"22","ASV_0031","Clupea pallasii",77.10962
"23","ASV_0033","Blepsias cirrhosus",27156
"24","ASV_0041","Gadus",44
"25","ASV_0044","Oncorhynchus keta",10533
"26","ASV_0044","Oncorhynchus keta",10533
"27","ASV_0045","Oncorhynchus tshawytscha",5013
"28","ASV_0046","Oncorhynchus nerka",10506
"29","ASV_0053","Ophiodon elongatus",11127
"30","ASV_0053","Ophiodon elongatus",11127
"31","ASV_0054","Oncorhynchus",18
"32","ASV_0058","Oncorhynchus kisutch",7165
"33","ASV_0060","Oncorhynchus keta",160
"34","ASV_0078","Oncorhynchus gorbuscha",3519
"35","ASV_0083","Oncorhynchus kisutch",2630
"36","ASV_0083","Oncorhynchus kisutch",2630
"37","ASV_0106","Lumpenus sagitta",130
"38","ASV_0125","Sebastes 3",1826
"39","ASV_0143","Oncorhynchus gorbuscha",175
"40","ASV_0145","Pholis laeta",11
"41","ASV_0154","Hexagrammos",1045
"42","ASV_0155","Lepidopsetta",1132
"43","ASV_0155","Lepidopsetta",1132
"44","ASV_0161","Gadus",2
"45","ASV_0169","Leptocottus armatus",897
"46","ASV_0175","Pleuronectidae 3",832
"47","ASV_0175","Pleuronectidae 3",832
"48","ASV_0196","Syngnathus leptorhynchus",629
"49","ASV_0202","Leptocottus armatus",578
"50","ASV_0235","Cymatogaster aggregata",451
"51","ASV_0249","Oncorhynchus",50
"52","ASV_0267","Oncorhynchus",208
"53","ASV_0642","Gadus",23
"54","ASV_0740","Gadus",3
"55","ASV_0830","Blepsias cirrhosus",1
"56","ASV_0865","Oncorhynchus",1
"57","ASV_0868","Ammodytes personatus",1
