"","qseqid","Organism","seq_percID","top_perc","diff"
"1","ASV_0001","Cymatogaster aggregata",100,100,0
"2","ASV_0002","Clupea pallasii",100,100,0
"3","ASV_0003","Gasterosteus aculeatus",100,100,0
"4","ASV_0004","Ammodytes personatus",100,100,0
"5","ASV_0005","Oncorhynchus gorbuscha",100,100,0
"6","ASV_0006","Pholis laeta",100,100,0
"7","ASV_0008","Lumpenus sagitta",100,100,0
"8","ASV_0009","Oncorhynchus kisutch",100,100,0
"9","ASV_0010","Leptocottus armatus",100,100,0
"10","ASV_0011","Syngnathus leptorhynchus",100,100,0
"11","ASV_0012","Hexagrammos stelleri",100,100,0
"12","ASV_0014","Ophiodon elongatus",100,100,0
"13","ASV_0017","Oncorhynchus keta",100,100,0
"14","ASV_0018","Gadus macrocephalus",100,100,0
"15","ASV_0019","Sebastes caurinus",100,100,0
"16","ASV_0020","Oncorhynchus keta",99.412,99.412,0
"17","ASV_0020","Oncorhynchus nerka",99.412,99.412,0
"18","ASV_0023","Sebastes auriculatus",100,100,0
"19","ASV_0024","Lepidopsetta bilineata",100,100,0
"20","ASV_0027","Sebastes flavidus",100,100,0
"21","ASV_0029","Limanda aspera",100,100,0
"22","ASV_0031","Clupea pallasii",99.419,99.419,0
"23","ASV_0033","Blepsias cirrhosus",100,100,0
"24","ASV_0035","Cymatogaster aggregata",99.405,99.405,0
"25","ASV_0038","Lepidopsetta bilineata",98.817,98.817,0
"26","ASV_0039","Clupea pallasii",99.419,99.419,0
"27","ASV_0040","Gasterosteus aculeatus",99.408,99.408,0
"28","ASV_0041","Gadus macrocephalus",99.412,99.412,0
"29","ASV_0043","Clupea pallasii",99.419,99.419,0
"30","ASV_0044","Oncorhynchus keta",99.412,99.412,0
"31","ASV_0044","Oncorhynchus kisutch",99.412,99.412,0
"32","ASV_0045","Oncorhynchus tshawytscha",100,100,0
"33","ASV_0046","Oncorhynchus nerka",100,100,0
"34","ASV_0051","Gasterosteus aculeatus",99.408,99.408,0
"35","ASV_0053","Ophiodon elongatus",98.824,98.824,0
"36","ASV_0054","Oncorhynchus gorbuscha",99.412,99.412,0
"37","ASV_0056","Gasterosteus aculeatus",99.408,99.408,0
"38","ASV_0058","Oncorhynchus kisutch",99.412,99.412,0
"39","ASV_0060","Oncorhynchus keta",99.408,99.408,0
"40","ASV_0061","Oncorhynchus nerka",98.235,98.235,0
"41","ASV_0062","Limanda aspera",99.408,99.408,0
"42","ASV_0067","Hexagrammos stelleri",98.204,98.204,0
"43","ASV_0070","Ammodytes personatus",100,100,0
