"","qseqid","taxon","taxonomic_level","species","genus","family","order","class","phylum","kingdom"
"1","ASV_0610","Perciformes","order","Blepsias bilobus","Blepsias","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"2","ASV_0610","Perciformes","order","Leptocottus armatus","Leptocottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"3","ASV_0029","Pleuronectidae","family",NA,NA,"Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"4","ASV_0038","Pleuronectidae","family",NA,NA,"Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"5","ASV_0053","Hexagrammidae","family",NA,NA,"Hexagrammidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"6","ASV_0071","Pleuronectidae","family",NA,NA,"Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"7","ASV_0175","Pleuronectidae","family",NA,NA,"Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"8","ASV_0189","Stichaeidae","family",NA,NA,"Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"9","ASV_0227","Cottidae","family",NA,NA,"Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"10","ASV_0345","Cottidae","family",NA,NA,"Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"11","ASV_0365","Pleuronectidae","family",NA,NA,"Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"12","ASV_0420","Pleuronectidae","family",NA,NA,"Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"13","ASV_0431","Pleuronectidae","family",NA,NA,"Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"14","ASV_0470","Pleuronectidae","family",NA,NA,"Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"15","ASV_0496","Pleuronectidae","family",NA,NA,"Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"16","ASV_0554","Pleuronectidae","family",NA,NA,"Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"17","ASV_0571","Cottidae","family",NA,NA,"Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"18","ASV_0622","Pleuronectidae","family",NA,NA,"Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"19","ASV_0623","Pleuronectidae","family",NA,NA,"Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"20","ASV_0814","Cottidae","family",NA,NA,"Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"21","ASV_0012","Hexagrammos","genus",NA,"Hexagrammos","Hexagrammidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"22","ASV_0015","Anoplarchus","genus",NA,"Anoplarchus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"23","ASV_0018","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"24","ASV_0019","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"25","ASV_0020","Oncorhynchus","genus",NA,"Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"26","ASV_0021","Cottus","genus",NA,"Cottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"27","ASV_0023","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"28","ASV_0024","Lepidopsetta","genus",NA,"Lepidopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"29","ASV_0027","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"30","ASV_0028","Myoxocephalus","genus",NA,"Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"31","ASV_0032","Cottus","genus",NA,"Cottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
