"","qseqid","species","genus","family","order","class","phylum","kingdom","seq_percID","top_perc","diff","taxonomic_level","taxon"
"1","ASV_0610","Blepsias bilobus","Blepsias","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.225,98.225,0,"order","Perciformes"
"2","ASV_0610","Leptocottus armatus","Leptocottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.225,98.225,0,"order","Perciformes"
"3","ASV_0029","Hippoglossoides elassodon","Hippoglossoides","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",100,100,0,"family","Pleuronectidae 1"
"4","ASV_0029","Hippoglossoides robustus","Hippoglossoides","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",100,100,0,"family","Pleuronectidae 1"
"5","ASV_0029","Limanda aspera","Limanda","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",100,100,0,"family","Pleuronectidae 1"
"6","ASV_0038","Isopsetta isolepis","Isopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",100,100,0,"family","Pleuronectidae 2"
"7","ASV_0038","Parophrys vetulus","Parophrys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",100,100,0,"family","Pleuronectidae 2"
"8","ASV_0038","Psettichthys melanostictus","Psettichthys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",100,100,0,"family","Pleuronectidae 2"
"9","ASV_0053","Ophiodon elongatus","Ophiodon","Hexagrammidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.824,98.824,0,"species","Ophiodon elongatus"
"10","ASV_0053","Hexagrammos lagocephalus","Hexagrammos","Hexagrammidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.81,98.824,0.0139999999999958,"species","Ophiodon elongatus"
"11","ASV_0053","Hexagrammos octogrammus","Hexagrammos","Hexagrammidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.81,98.824,0.0139999999999958,"species","Ophiodon elongatus"
