"","qseqid","taxon","taxonomic_level"
"1","ASV_0007","Oncorhynchus gorbuscha","species"
"2","ASV_0009","Oncorhynchus kisutch","species"
"3","ASV_0013","Oncorhynchus keta","species"
"4","ASV_0045","Oncorhynchus tshawytscha","species"
"5","ASV_0051","Oncorhynchus clarkii","species"
"6","ASV_0052","Oncorhynchus keta","species"
"7","ASV_0070","Oncorhynchus keta","species"
"8","ASV_0074","Oncorhynchus nerka","species"
"9","ASV_0082","Oncorhynchus mykiss","species"
"10","ASV_0092","Oncorhynchus kisutch","species"
"11","ASV_0108","Oncorhynchus gorbuscha","species"
"12","ASV_0118","Oncorhynchus gorbuscha","species"
"13","ASV_0120","Oncorhynchus keta","species"
"14","ASV_0124","Oncorhynchus kisutch","species"
"15","ASV_0154","Oncorhynchus kisutch","species"
"16","ASV_0155","Oncorhynchus keta","species"
"17","ASV_0160","Oncorhynchus gorbuscha","species"
"18","ASV_0168","Oncorhynchus gorbuscha","species"
"19","ASV_0178","Oncorhynchus keta","species"
"20","ASV_0207","Oncorhynchus tshawytscha","species"
"21","ASV_0218","Oncorhynchus kisutch","species"
"22","ASV_0219","Oncorhynchus gorbuscha","species"
"23","ASV_0255","Oncorhynchus keta","species"
"24","ASV_0280","Oncorhynchus kisutch","species"
"25","ASV_0288","Oncorhynchus nerka","species"
"26","ASV_0301","Oncorhynchus gorbuscha","species"
"27","ASV_0311","Oncorhynchus kisutch","species"
"28","ASV_0322","Oncorhynchus gorbuscha","species"
"29","ASV_0324","Oncorhynchus keta","species"
"30","ASV_0342","Oncorhynchus keta","species"
"31","ASV_0367","Oncorhynchus keta","species"
"32","ASV_0375","Oncorhynchus gorbuscha","species"
"33","ASV_0384","Oncorhynchus gorbuscha","species"
"34","ASV_0392","Oncorhynchus gorbuscha","species"
"35","ASV_0396","Oncorhynchus kisutch","species"
"36","ASV_0400","Oncorhynchus gorbuscha","species"
"37","ASV_0411","Oncorhynchus tshawytscha","species"
"38","ASV_0414","Oncorhynchus gorbuscha","species"
"39","ASV_0432","Oncorhynchus keta","species"
"40","ASV_0445","Oncorhynchus gorbuscha","species"
"41","ASV_0450","Oncorhynchus gorbuscha","species"
"42","ASV_0455","Oncorhynchus keta","species"
"43","ASV_0456","Oncorhynchus gorbuscha","species"
"44","ASV_0465","Oncorhynchus keta","species"
"45","ASV_0474","Oncorhynchus kisutch","species"
"46","ASV_0482","Oncorhynchus gorbuscha","species"
"47","ASV_0493","Oncorhynchus kisutch","species"
"48","ASV_0505","Oncorhynchus gorbuscha","species"
"49","ASV_0512","Oncorhynchus kisutch","species"
"50","ASV_0513","Oncorhynchus gorbuscha","species"
"51","ASV_0518","Oncorhynchus keta","species"
"52","ASV_0548","Oncorhynchus gorbuscha","species"
"53","ASV_0037","Oncorhynchus","genus"
"54","ASV_0044","Oncorhynchus","genus"
"55","ASV_0064","Oncorhynchus","genus"
"56","ASV_0128","Oncorhynchus","genus"
"57","ASV_0136","Oncorhynchus","genus"
"58","ASV_0231","Oncorhynchus","genus"
"59","ASV_0244","Oncorhynchus","genus"
"60","ASV_0454","Oncorhynchus","genus"
"61","ASV_0496","Oncorhynchus","genus"
