"qseqid","species","genus","family","order","class","phylum","kingdom","seq_percID","top_perc","diff","taxonomic_level","taxon"
"ASV_0028","Isopsetta isolepis","Isopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",100,100,0,"family","Pleuronectidae"
"ASV_0028","Parophrys vetulus","Parophrys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",100,100,0,"family","Pleuronectidae"
"ASV_0028","Psettichthys melanostictus","Psettichthys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",100,100,0,"family","Pleuronectidae"
"ASV_0053","Hippoglossus stenolepis","Hippoglossus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",100,100,0,"family","Pleuronectidae"
"ASV_0061","Platichthys stellatus","Platichthys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",100,100,0,"family","Pleuronectidae"
"ASV_0084","Lepidopsetta bilineata","Lepidopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",100,100,0,"family","Pleuronectidae"
"ASV_0084","Lepidopsetta polyxystra","Lepidopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",100,100,0,"family","Pleuronectidae"
"ASV_0089","Limanda aspera","Limanda","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",100,100,0,"family","Pleuronectidae"
"ASV_0265","Hippoglossus stenolepis","Hippoglossus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Pleuronectidae"
"ASV_0338","Platichthys stellatus","Platichthys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Pleuronectidae"
"ASV_0388","Isopsetta isolepis","Isopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Pleuronectidae"
"ASV_0388","Parophrys vetulus","Parophrys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Pleuronectidae"
"ASV_0388","Psettichthys melanostictus","Psettichthys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Pleuronectidae"
"ASV_0402","Isopsetta isolepis","Isopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Pleuronectidae"
"ASV_0402","Parophrys vetulus","Parophrys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Pleuronectidae"
"ASV_0402","Psettichthys melanostictus","Psettichthys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Pleuronectidae"
"ASV_0462","Isopsetta isolepis","Isopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Pleuronectidae"
"ASV_0462","Parophrys vetulus","Parophrys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Pleuronectidae"
"ASV_0462","Psettichthys melanostictus","Psettichthys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Pleuronectidae"
"ASV_0506","Isopsetta isolepis","Isopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Pleuronectidae"
"ASV_0506","Parophrys vetulus","Parophrys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Pleuronectidae"
"ASV_0506","Psettichthys melanostictus","Psettichthys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Pleuronectidae"
"ASV_0551","Isopsetta isolepis","Isopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Pleuronectidae"
"ASV_0551","Parophrys vetulus","Parophrys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Pleuronectidae"
"ASV_0551","Psettichthys melanostictus","Psettichthys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Pleuronectidae"
"ASV_0069","Lepidopsetta bilineata","Lepidopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",100,100,0,"genus","Lepidopsetta"
"ASV_0069","Lepidopsetta polyxystra","Lepidopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",100,100,0,"genus","Lepidopsetta"
