"","species","Mean","SD","q.025","q.05","q.25","q.75","q.95","q.975","calibration","SP"
"1","Oncorhynchus keta",-0.017874718143981,0.00107284687764853,-0.0199580333594955,-0.019578465538653,-0.0185564892854393,-0.0172220984822856,-0.0160885494313137,-0.0156223071482253,"COM2","Oncorhynchus keta"
"2","Oncorhynchus keta",-0.01092436229378,0.0035374288207041,-0.017935523170991,-0.016144423793254,-0.0127227994766457,-0.00907423768811921,-0.00555649682052951,-0.00392334007753962,"COM3","Oncorhynchus keta"
"3","Blepsias cirrhosus",-0.00974582952274663,0.00321765934042886,-0.016718641898792,-0.0142719787528581,-0.010860686841476,-0.0085009337221823,-0.00536247944365122,-0.00309240650392128,"COM9","Blepsias cirrhosus"
"4","Blepsias cirrhosus",-0.00918675826145609,0.00128841025432238,-0.0118600112920863,-0.0111354691717939,-0.00984361905605269,-0.00848179198474097,-0.00726707193302199,-0.00669353628520708,"COM8","Blepsias cirrhosus"
"5","Sebastes 1",-0.00906603507721946,0.00177697599881251,-0.012920418817868,-0.0116689199549169,-0.00983659387425651,-0.00826767676656337,-0.00642753047105009,-0.00554053328026296,"COM10","Sebastes 1"
"6","Hexagrammos",-0.00856345294294051,0.00155704417589898,-0.0115611779864572,-0.0110019007187845,-0.00949661254740264,-0.00764402019008337,-0.00605961401425175,-0.00548718999301639,"COM7","Hexagrammos"
"7","Cymatogaster aggregata",-0.00854073021632946,0.00368970836477794,-0.0163108314965764,-0.0137077418913142,-0.00973543689765277,-0.00718561142616592,-0.00357112453224577,-0.00145921481316343,"COM6","Cymatogaster aggregata"
"8","Oncorhynchus keta",-0.00812254808978289,0.00098087834070246,-0.00999667536503167,-0.00963064514632954,-0.00868850518983566,-0.0075776177854191,-0.0066742247936243,-0.00629381526783179,"COM8","Oncorhynchus keta"
"9","Oncorhynchus kisutch",-0.00705928214262944,0.00689865943937022,-0.0219286701654085,-0.0175264032144665,-0.00980462711594665,-0.00406801873596918,0.00309624525061149,0.00733039751364447,"COM3","Oncorhynchus kisutch"
"10","Blepsias cirrhosus",-0.00688435318958156,0.00404821838121058,-0.0153797738303871,-0.0124702142611841,-0.00828037618144006,-0.00527203401643683,-0.00173669707719809,0.000574473186808754,"COM7","Blepsias cirrhosus"
"11","Blepsias cirrhosus",-0.00665559085276703,0.00130340947815282,-0.0093703599011278,-0.00863746580662468,-0.00728725267619301,-0.00596877913201899,-0.00471867383802747,-0.0040395084930842,"COM5","Blepsias cirrhosus"
"12","Sebastes 2",-0.00661738380758836,0.0019907572700087,-0.0106845884213409,-0.00956028446672303,-0.00748815374086603,-0.00574753339252748,-0.00380853956885609,-0.00259631170462555,"COM10","Sebastes 2"
"13","Syngnathus leptorhynchus",-0.00657561596985445,0.0023490405765628,-0.0111682083556441,-0.00992738300002323,-0.00772705621314163,-0.00538374881860648,-0.00306933714532485,-0.00189928441708898,"COM8","Syngnathus leptorhynchus"
"14","Ammodytes personatus",-0.00646468266397718,0.00273339906535178,-0.0129748915530041,-0.0108973077951769,-0.00758711509434717,-0.00535910499767212,-0.00205564094747379,-0.000222201377230497,"COM9","Ammodytes personatus"
"15","Hexagrammos",-0.00646291526491706,0.00121471759950385,-0.00890676310554834,-0.00842381341303842,-0.00712628428896223,-0.00579357464423869,-0.00461886701371419,-0.0040380125154652,"COM9","Hexagrammos"
"16","Blepsias cirrhosus",-0.00610701641760383,0.00187556632230652,-0.0101612238033906,-0.0089075250647515,-0.00691747751736438,-0.00534635248088733,-0.00322446088745456,-0.00172071265486375,"COM1","Blepsias cirrhosus"
"17","Oncorhynchus gorbuscha",-0.006006339558021,0.002111619839744,-0.0107084017475626,-0.00952473400859053,-0.00703957490536578,-0.00496027170156399,-0.00280730285191617,-0.00179366066551423,"COM2","Oncorhynchus gorbuscha"
"18","Blepsias cirrhosus",-0.00587992816239215,0.00143230459574147,-0.0087023447173879,-0.00811739611380258,-0.00671914491741021,-0.00509207764270825,-0.00358301875836427,-0.00286967899816758,"COM12","Blepsias cirrhosus"
"19","zRefSpecies_Ammodytes personatus",-0.00573683354631681,0.00102359765251092,-0.00777409501288606,-0.00735705657371184,-0.0063688091842562,-0.00513812599394781,-0.00404272621654092,-0.00357317575039459,"COM2","Ammodytes personatus"
"20","zRefSpecies_Ammodytes personatus",-0.00481185561371388,0.000839099336771495,-0.0064252691001633,-0.00609920879132551,-0.00536635628574833,-0.00428874429604176,-0.00346121745452777,-0.00313974197766987,"COM12","Ammodytes personatus"
"21","Syngnathus leptorhynchus",-0.00477062761192874,0.00136749186338881,-0.00735781711501301,-0.0069060948168542,-0.00560598652601629,-0.00395388265321672,-0.00246012623542324,-0.00188955293512667,"COM7","Syngnathus leptorhynchus"
"22","Sebastes 2",-0.00466971785818098,0.00149473764818914,-0.00768306600987223,-0.00699078205909924,-0.00549421481555068,-0.00383568672771517,-0.0023667943710366,-0.00172000595717705,"COM13","Sebastes 2"
