"","Sample_ID","sample_type","total_reads","n_ASV","n_tax"
"1","e00289-A",NA,NA,NA,NA
"2","e00289-B","sample",4209.55354099818,9,5
"3","e00289-C","sample",1245,2,1
"4","e00290-A",NA,NA,NA,NA
"5","e00290-B",NA,NA,NA,NA
"6","e00290-C",NA,NA,NA,NA
"7","e00291-A","sample",2674.91403216313,9,6
"8","e00291-B","sample",3204.5493659809,9,7
"9","e00291-C","sample",9143.71113925894,7,6
"10","e00292-A","field_blank",6127.20835252396,3,2
"11","e00292-B",NA,NA,NA,NA
"12","e00292-C",NA,NA,NA,NA
"13","e00293-A","sample",16863.4866544664,13,5
"14","e00293-B","sample",17586.8819278791,17,6
"15","e00293-C","sample",10803.3456067616,15,5
"16","e00294-A","sample",14489.2186578867,14,7
"17","e00294-B","sample",18950.373881519,14,6
"18","e00294-C","sample",7575.33436149,9,4
"19","e00295-A","sample",29326.8112014694,13,11
"20","e00295-B","sample",17909.0980504042,14,10
"21","e00295-C","sample",27760.720119633,6,5
"22","e00296-A",NA,NA,NA,NA
"23","e00296-B","field_blank",15500.9185617495,5,4
"24","e00296-C","field_blank",4983.91060542045,7,6
"25","e00297-A","sample",18536.6241194534,42,23
"26","e00297-B","sample",7025.90885378703,16,10
"27","e00297-C","sample",19049.4730559174,22,11
"28","e00298-A","sample",18927.6823198432,42,24
"29","e00298-B","sample",14707.0475268028,17,10
"30","e00298-C","sample",20796.7734491293,25,17
"31","e00299-A","sample",23173.7473005793,47,25
"32","e00299-B","sample",14848.8293588644,20,14
"33","e00299-C","sample",10471.0279341462,29,19
"34","e00300-A","field_blank",9358.70207756233,5,3
"35","e00300-B","field_blank",15640.1864348434,5,4
"36","e00300-C","field_blank",13052.9995371171,5,4
"37","e00301-A","sample",29845.3496836645,27,19
"38","e00301-B","sample",12085.2654751254,16,8
"39","e00301-C","sample",14435.049728296,15,11
"40","e00302-A","sample",28435.7633477003,23,12
"41","e00302-B","sample",14182.7664043158,7,5
"42","e00302-C","sample",25623.9064082967,17,8
"43","e00303-A","sample",3574.6957042776,19,11
"44","e00303-B","sample",8516.72628642923,6,4
"45","e00303-C","sample",15717.0781843129,12,6
"46","e00304-A","field_blank",5630.62384828896,5,4
"47","e00304-B","field_blank",2111.07202216066,1,1
"48","e00304-C",NA,NA,NA,NA
"49","e00305-A","sample",19113.8803889603,22,15
"50","e00305-B","sample",10581.7680374271,10,8
"51","e00305-C","sample",13644.6548719907,16,10
"52","e00306-A","sample",21358.7545243104,34,16
"53","e00306-B","sample",24633.0150757354,20,8
"54","e00306-C","sample",18722.1765675299,21,11
"55","e00307-A","sample",17842.8305495717,37,20
"56","e00307-B","sample",25156.9449598537,16,8
"57","e00307-C","sample",17498.7946442266,31,20
"58","e00308-A","field_blank",7148.04045079493,2,2
"59","e00308-B",NA,NA,NA,NA
"60","e00308-C",NA,NA,NA,NA
"61","e00309-A","sample",20052.8701714538,14,6
"62","e00309-B","sample",30049.6216998928,25,14
"63","e00309-C",NA,NA,NA,NA
"64","e00310-A","sample",16004.5528363332,14,10
"65","e00310-B","sample",22453.4199261182,17,9
"66","e00310-C","sample",18676.2005383411,33,22
"67","e00311-A","sample",8858.03848676142,6,5
"68","e00311-B","sample",37569.2922903111,21,11
"69","e00311-C","sample",20735.8163513336,40,25
"70","e00312-A",NA,NA,NA,NA
"71","e00312-B",NA,NA,NA,NA
"72","e00312-C",NA,NA,NA,NA
"73","e00313-A",NA,NA,NA,NA
"74","e00313-B",NA,NA,NA,NA
"75","e00313-C","field_blank",10108.260365164,11,7
"76","e00314-A","sample",17864.333090819,36,19
"77","e00314-B","sample",32253.5376222897,16,10
"78","e00314-C","sample",18249.9640312398,25,14
"79","e00315-A","sample",22618.800941439,42,21
"80","e00315-B","sample",15414.936063635,15,10
"81","e00315-C","sample",16438.5233751483,30,18
"82","e00316-A","sample",24744.1253915778,32,17
"83","e00316-B","sample",35706.1729783069,22,11
"84","e00316-C","sample",18016.7461834415,16,8
"85","e00317-A","field_blank",2154.21222284726,8,5
"86","e00317-B","field_blank",7410.34579615644,6,4
"87","e00317-C","field_blank",6349.15740682212,5,4
"88","e00318-A","sample",22324.5901243765,39,19
"89","e00318-B","sample",39822.1843701807,27,13
"90","e00318-C","sample",20197.8060069572,34,19
"91","e00319-A","sample",15239.0827444695,26,15
"92","e00319-B","sample",24174.1658865542,18,12
"93","e00319-C","sample",16198.1654877444,42,24
"94","e00320-A","sample",3410.58100991756,24,15
"95","e00320-B","sample",8270.62864528304,15,8
"96","e00320-C","sample",5506.81439619051,22,12
"97","e00321-A",NA,NA,NA,NA
"98","e00321-B",NA,NA,NA,NA
"99","e00321-C",NA,NA,NA,NA
"100","e00322-A","sample",20414.6587629858,22,10
"101","e00322-B","sample",63097.9390689043,25,13
"102","e00322-C","sample",30618.5248770179,28,13
"103","e00323-A","sample",13479.7446144784,14,7
"104","e00323-B","sample",17067.4154311814,14,5
"105","e00323-C","sample",16919.4417340343,19,8
"106","e00324-A","sample",21421.1856424453,26,11
"107","e00324-B","sample",28760.3246923437,17,7
"108","e00324-C","sample",27338.7309585474,26,12
"109","e00325-A","field_blank",20299.2320066928,7,4
"110","e00325-B","field_blank",33722.863,5,3
"111","e00325-C","field_blank",20938.005,5,2
"112","e00326-A","sample",7358.537,3,1
"113","e00326-B",NA,NA,NA,NA
"114","e00326-C","sample",3725.8095,9,2
"115","e00327-A","sample",3889.1147,3,2
"116","e00327-B",NA,NA,NA,NA
"117","e00327-C",NA,NA,NA,NA
"118","e00328-A","sample",2361.716145,8,4
"119","e00328-B",NA,NA,NA,NA
"120","e00328-C","sample",6490.841983,9,5
"121","e00329-A",NA,NA,NA,NA
"122","e00329-B",NA,NA,NA,NA
"123","e00329-C",NA,NA,NA,NA
"124","e00330-A","sample",10428.77882,25,16
"125","e00330-B","sample",1145.005525,14,11
"126","e00330-C","sample",6586.41256,17,8
"127","e00331-A","sample",10915.4886,13,9
"128","e00331-B","sample",2739.4018,9,5
"129","e00331-C","sample",10137.7073,16,11
"130","e00332-A",NA,NA,NA,NA
"131","e00332-B",NA,NA,NA,NA
"132","e00332-C",NA,NA,NA,NA
"133","e00333-A",NA,NA,NA,NA
"134","e00333-B",NA,NA,NA,NA
"135","e00333-C",NA,NA,NA,NA
"136","e00334-A",NA,NA,NA,NA
"137","e00334-B","sample",3178.18559,6,5
"138","e00334-C","sample",6320.15461,26,19
"139","e00335-A","sample",11947.48,6,3
"140","e00335-B","sample",6057.6368,11,7
"141","e00335-C","sample",3513.29566,14,9
"142","e00336-A",NA,NA,NA,NA
"143","e00336-B",NA,NA,NA,NA
"144","e00336-C",NA,NA,NA,NA
"145","e00337-A","sample",2822.5191784,7,4
"146","e00337-B",NA,NA,NA,NA
"147","e00337-C","sample",1820,1,1
"148","e00338-A","field_blank",10598.887734,4,2
"149","e00338-B","field_blank",7943.885,2,1
"150","e00338-C",NA,NA,NA,NA
"151","e00339-A",NA,NA,NA,NA
"152","e00339-B",NA,NA,NA,NA
"153","e00339-C",NA,NA,NA,NA
"154","e00340-A","sample",1717.2670067,35,20
"155","e00340-B","sample",31988.332,20,6
"156","e00340-C","sample",28845.6261,33,13
"157","e00341-A","sample",7940.74615,35,23
"158","e00341-B","sample",20949.041,19,8
"159","e00341-C","sample",21929.9955,36,19
"160","e00342-A",NA,NA,NA,NA
"161","e00342-B",NA,NA,NA,NA
"162","e00342-C",NA,NA,NA,NA
"163","e00343-A","sample",19158.64093,34,17
"164","e00343-B","sample",16617.6319,17,11
"165","e00343-C","sample",12525.51785,27,13
"166","e00344-A",NA,NA,NA,NA
"167","e00344-B","sample",1942.9997548,11,10
"168","e00344-C","sample",23383.6577,20,10
"169","e00345-A","sample",14623.12861,35,17
"170","e00345-B","sample",4648.9219,10,6
"171","e00345-C","sample",17147.5597,24,12
"172","e00346-A",NA,NA,NA,NA
"173","e00346-B",NA,NA,NA,NA
"174","e00346-C",NA,NA,NA,NA
"175","e00347-A","sample",23225.11151,44,27
"176","e00347-B","sample",12412.8255,13,7
"177","e00347-C","sample",34870.6945,23,13
"178","e00348-A","sample",26720.48107,42,24
"179","e00348-B","sample",7107.79212,18,10
"180","e00348-C","sample",29593.57347,27,15
"181","e00349-A","sample",30093.25162,27,19
"182","e00349-B","sample",7235.96303,20,9
"183","e00349-C","sample",8056.66684,21,11
"184","e00350-A",NA,NA,NA,NA
"185","e00350-B",NA,NA,NA,NA
"186","e00350-C","field_blank",2050.5528547,4,2
"187","e00351-A","sample",24279.03181,26,18
"188","e00351-B","sample",9545.6665,9,5
"189","e00351-C","sample",5812.1771891,15,9
"190","e00352-A","sample",1524.168735,22,15
"191","e00352-B","sample",10694.5709,8,4
"192","e00352-C","sample",8028.14743,19,10
"193","e00353-A",NA,NA,NA,NA
"194","e00353-B","sample",12761.5165,13,8
"195","e00353-C","sample",14425.42741,20,12
"196","e00354-A","field_blank",8066.737,2,1
"197","e00354-B",NA,NA,NA,NA
"198","e00354-C",NA,NA,NA,NA
"199","e00355-A","sample",17980.36199,34,22
"200","e00355-B","sample",9567.3666,13,8
"201","e00355-C","sample",7228.64559,26,18
"202","e00356-A","sample",21545.55958,27,15
"203","e00356-B","sample",12265.8681,19,14
"204","e00356-C","sample",8947.01977,20,15
"205","e00357-A","sample",22591.2619,26,16
"206","e00357-B","sample",9343.5242,16,12
"207","e00357-C","sample",18271.623718,34,20
"208","e00358-A","field_blank",1216.721541,6,5
"209","e00358-B","field_blank",9605.486,3,2
"210","e00358-C","field_blank",3489.897664,4,3
"211","e00359-A","sample",5258.529868,26,21
"212","e00359-B","sample",22117.2085202,16,9
"213","e00359-C","sample",15181.544919,16,10
"214","e00360-A",NA,NA,NA,NA
"215","e00360-B",NA,NA,NA,NA
"216","e00360-C",NA,NA,NA,NA
"217","e00361-A","sample",3991.116597,23,20
"218","e00361-B","sample",34197.1373,23,13
"219","e00361-C","sample",18859.23415,23,14
"220","e00362-A","sample",5013.281207,23,17
"221","e00362-B","sample",16175.62398,22,13
"222","e00362-C","sample",7739.69231,24,17
"223","e00363-A","field_blank",3836.596152,3,3
"224","e00363-B","field_blank",16049.46,5,4
"225","e00363-C","field_blank",7247.808,3,2
"226","e00364-A","sample",4050.8953,9,5
"227","e00364-B","sample",11895.8993,16,11
"228","e00364-C","sample",7358.3398,41,23
"229","e00365-A","sample",3957.604,7,3
"230","e00365-B","sample",10321.0021,22,14
"231","e00365-C","sample",6992.69852,35,18
"232","e00366-A","sample",4358.87927,38,25
"233","e00366-B","sample",9023.6667,13,6
"234","e00366-C","sample",3083.98978,24,13
"235","e00367-A",NA,NA,NA,NA
"236","e00367-B",NA,NA,NA,NA
"237","e00367-C","field_blank",2774.821659,2,2
"238","e00368-A","sample",4563.02656,23,14
"239","e00368-B","sample",8301.1204,14,6
"240","e00368-C","sample",19226.73362,26,12
"241","e00369-A","sample",3677.96285,30,21
"242","e00369-B","sample",9142.006707,16,7
"243","e00369-C","sample",13433.76875,22,13
"244","e00370-A","sample",2254.354368,30,21
"245","e00370-B","sample",5289.80982,11,8
"246","e00370-C","sample",4034.603102,18,15
"247","e00371-A",NA,NA,NA,NA
"248","e00371-B",NA,NA,NA,NA
"249","e00371-C","field_blank",3781.347,1,1
"250","e00372-A",NA,NA,NA,NA
"251","e00372-B",NA,NA,NA,NA
"252","e00372-C",NA,NA,NA,NA
"253","e03265-A","sample",2970.2484,9,6
"254","e03265-B","sample",12855.5491,14,8
"255","e03265-C","sample",6644.922055,16,9
"256","e03266-A","sample",14018.1409,14,8
"257","e03266-B","sample",15644.9111,16,6
"258","e03266-C","sample",15025.7493,13,8
"259","e03267-A","sample",16183.2766,16,10
"260","e03267-B","sample",18374.0708,22,13
"261","e03267-C","sample",28027.891,14,9
"262","e03268-A","field_blank",2024.047,2,1
"263","e03268-B",NA,NA,NA,NA
"264","e03268-C",NA,NA,NA,NA
"265","e03269-A","sample",1708.579106,11,9
"266","e03269-B","sample",16032.179,15,6
"267","e03269-C","sample",11866.408,5,4
"268","e03270-A","sample",14243.85975,11,7
"269","e03270-B","sample",18762.592115,16,9
"270","e03270-C","sample",11820.804913,12,8
"271","e03271-A","sample",10986.9076,11,8
"272","e03271-B","sample",12088.578504,15,8
"273","e03271-C","sample",8454.6678,9,8
"274","e03272-A",NA,NA,NA,NA
"275","e03272-B",NA,NA,NA,NA
"276","e03272-C",NA,NA,NA,NA
"277","e03273-A","sample",23351.0304,19,10
"278","e03273-B","sample",25611.791,10,6
"279","e03273-C","sample",13128.319051,17,11
"280","e03274-A","sample",15281.9706,14,10
"281","e03274-B","sample",19921.646,11,7
"282","e03274-C","sample",10188.29946,20,13
"283","e03275-A","sample",24366.694644,11,9
"284","e03275-B","sample",20570.93081,12,9
"285","e03275-C","sample",19664.523056,11,8
"286","e03276-A","field_blank",3318.554042,3,2
"287","e03276-B",NA,NA,NA,NA
"288","e03276-C",NA,NA,NA,NA
"289","e03277-A","sample",3504.6561,8,7
"290","e03277-B","sample",1826,1,1
"291","e03277-C","sample",3493.1134,11,6
"292","e03278-A","sample",15236.900584,13,8
"293","e03278-B","sample",15809.1283,10,6
"294","e03278-C","sample",10675.5382,8,5
"295","e03279-A","sample",3634.9763,8,7
"296","e03279-B","sample",11871.25,7,6
"297","e03279-C","sample",15276.9997929,10,9
"298","e03280-A",NA,NA,NA,NA
"299","e03280-B",NA,NA,NA,NA
"300","e03280-C",NA,NA,NA,NA
"301","e03281-A","sample",1999.263559,5,5
"302","e03281-B","sample",16303.4434,9,5
"303","e03281-C","sample",8204.8198057,11,9
"304","e03282-A","sample",1582.9247709,9,8
"305","e03282-B","sample",11664.023657,15,10
"306","e03282-C","sample",10863.9688,21,11
"307","e03283-A","sample",3304.114866,11,8
"308","e03283-B","sample",18535.1309,15,8
